city,state,mean site eui,mean site eui res,mean source eui,mean source eui res,mean fuel eui,mean fuel eui res,mean electric eui,mean electric eui res,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
Birmingham,AL,143.6476419,50.020103315436074,400.5950342,96.55702205262277,25.618049172380925,,143.31156315109223,21.116270784149467,1933,2770,62.78,22.46,73.94,51.44,5712,8
Mobile,AL,107.08497849999999,50.998701660588395,315.9074426,117.94036254027884,10.227344026425953,,120.40327793860304,30.169515256511758,2537,1656,67.46,18.68,76.64,58.1,6528,2
Anchorage,AK,133.1116532,55.616592333785896,270.5060111,86.47461372653328,66.88424636832862,,90.75517037514662,13.434063050745499,3,10201,37.04,14.0,44.06,30.02,1667,821
Phoenix,AZ,66.83963638,34.146044625080535,200.3537353,95.2921750039577,4.228576053725516,5.881797799430807,76.5887088446575,26.895603141322688,3741,1359,71.42,34.34,88.7,54.32,876,0
Mesa,AZ,90.42759114,30.461338998448092,278.819932,95.64860445512699,2.6308779542375698,0.0,123.88803678928369,30.461338998448092,3592,1462,70.88,27.68,84.56,57.02,943,0
Tucson,AZ,111.3800858,32.4129793531891,331.2889085,84.47275092717216,8.777518085655247,9.298244868688391,119.37053707553785,24.75373265804306,1946,2486,63.5,37.22,82.04,44.96,1390,23
Yuma,AZ,89.96393597,43.328681604799584,275.58844300000004,129.80251860645183,2.7267418216160038,3.3222119613352747,139.60265365816178,40.36822794798184,3811,1129,72.32,29.84,87.26,57.38,368,0
Little Rock,AR,124.1508758,61.01552977144426,334.4675339,139.29953694243505,26.681640803378343,25.01876867937796,110.7421693372407,36.937149234271345,2170,3006,62.78,18.68,71.96,53.24,5468,44
Fayetteville,AR,136.07864540000003,35.15519178707097,364.64534629999997,88.43843870762902,31.320575310101546,11.478266357474789,115.17432386043696,23.263998004876967,1517,4013,58.28,20.84,68.54,47.66,4553,43
Conway,AR,113.4516199,38.97974491914665,312.37262589999995,122.3963990461205,22.037656034237514,0.03768144762115718,94.73208535269693,38.123944222490366,1843,3472,60.44000000000001,22.82,71.96,49.1,4908,41
Los Angeles,CA,81.08795102,27.359427223840882,220.28629730000003,54.78671895956375,16.832242610861396,14.489056866031886,87.06086051452114,12.482542818894027,1638,880,67.1,22.64,78.44,55.76,2297,0
San Francisco,CA,64.64098582,40.11088700184683,158.42825469999997,64.41536971031869,16.371552072221522,31.04203269367013,62.009912059792995,11.273362890521009,174,2701,58.1,19.4,67.82,48.38,2674,0
San Diego,CA,60.451393200000005,32.1162500967872,145.16032719999998,62.232609010638505,21.45076531810487,18.474799180895978,52.79177417932458,13.641363101400525,1241,1909,63.14,21.92,74.12,52.16,1677,1
San Jose,CA,81.37019325,34.09958826714859,222.4191151,63.06224212589425,15.92865990016082,20.914837572378065,79.82491609998694,12.882705172745142,395,2735,58.64,30.2,73.75999999999998,43.52,5048,1
Denver,CO,96.39357945,41.870882327092815,222.0623775,98.11788128048558,39.04669974027114,15.919005596626484,60.52920446842921,25.952758134150876,15,8879,40.64,31.64,56.66,24.8,1773,857
Colorado Springs,CO,109.03124479999998,63.695016065901505,263.50647200000003,106.58351429761032,37.60551332600559,43.55023161115241,73.67177412447674,19.05599404547484,6,9474,39.02,27.32,52.88,25.34,1882,249
Fort Collins,CO,65.14891293,36.452121154037755,130.8245304,89.90251205403592,33.54928799688385,11.749831755809893,29.391001109242673,24.702289398227876,250,7381,45.32,22.64,56.66,34.16,2162,1661
New Haven,CT,119.55581809999998,44.26572976595378,279.32007880000003,91.05244724164032,46.605381641056844,22.938729293518943,78.07118748689928,14.722778317547002,745,5650,51.44,18.86,60.98,42.08,5110,310
Hartford,CT,78.55122442,29.06984220835959,167.2777996,57.73600072176927,34.538847910730475,23.319240693856997,43.77108788249478,13.40921530904848,603,6318,49.28,21.92,60.26,38.48,5344,313
Dover,DE,104.3690621,44.708309592962806,241.6027338,87.17783556999142,41.37884646687385,26.942772445096946,62.78528650145905,19.47004966997087,1314,4269,56.84,18.86,66.38,47.48,4605,157
Miami,FL,80.03486685,34.65853925083789,244.49392039999998,108.66139832682123,3.6591276634658105,0.07986930295938374,101.59658235082563,33.908416820093464,4351,124,76.64,11.12,82.04,71.06,5710,0
Tampa,FL,77.43193431,35.78090646586644,234.08267090000004,108.67212511571543,4.139954805419596,1.808540152715308,91.06470901112516,33.95464995958797,3228,630,72.14,17.06,80.78,63.68,5262,0
Fort Lauderdale,FL,87.29557006,31.33576192103286,265.2022789,97.61237971000546,4.4194049697858295,0.3739819334263332,107.72075103082895,30.961641001397577,3954,194,75.38,16.34,83.48,67.28,6710,0
Jacksonville,FL,126.6015098,30.561054470053648,348.63844819999997,93.48066455811262,24.29323448138783,1.384215570758614,122.86620511669254,29.627216522862522,2803,1215,69.25999999999999,16.34,77.54,61.16,4881,-7777
Orlando,FL,80.44185203,33.310238094344285,241.47295330000003,99.39056607834213,4.787737379252191,4.861219334247965,95.56394254373518,29.209178010622463,3424,571,72.86,19.94,82.75999999999998,62.78,5073,0
Atlanta,GA,76.47264748,45.85083095009558,203.78509499999998,99.35711150587058,16.010710259958895,26.36501784315096,57.91418111399714,24.457487843813446,1336,3644,58.64,21.38,69.25999999999999,48.02,5304,4
Columbus,GA,126.28020749999999,33.53522945740505,320.6471523,66.25103997247388,37.72857107282403,18.623351170822577,92.4010519338068,15.620949798305919,2141,2354,64.4,24.08,76.46,52.34,4962,4
Columbus,GA,126.28020749999999,33.53522945740505,320.6471523,66.25103997247388,37.72857107282403,,92.4010519338068,,2141,2354,64.4,24.08,76.46,52.34,4962,4
Columbus,OH,126.28020749999999,33.53522945740505,320.6471523,66.25103997247388,37.72857107282403,18.623351170822577,92.4010519338068,15.620949798305919,980,5473,52.7,22.82,64.04,41.36,4018,210
Columbus,OH,126.28020749999999,33.53522945740505,320.6471523,66.25103997247388,37.72857107282403,,92.4010519338068,,980,5473,52.7,22.82,64.04,41.36,4018,210
Savannah,GA,124.12721029999999,44.8794739553662,345.8688742,111.56316096715621,24.010426579173778,14.146701464150294,128.5313430653104,33.23976162710461,2458,1811,66.74000000000001,21.38,77.36,56.12000000000001,4796,3
Augusta,GA,97.84620379,60.29131408079871,262.7487223,141.06744073764364,18.090535599650647,23.177415177386585,88.7170599120888,22.213307163831786,2088,2470,63.86,25.880000000000006,76.82,51.08,4357,9
Augusta,GA,97.84620379,60.29131408079871,262.7487223,141.06744073764364,18.090535599650647,,88.7170599120888,,2088,2470,63.86,25.880000000000006,76.82,51.08,4357,9
Augusta,ME,97.84620379,60.29131408079871,262.7487223,141.06744073764364,18.090535599650647,23.177415177386585,88.7170599120888,22.213307163831786,345,7687,44.96,20.84,55.22,34.34,4618,651
Augusta,ME,97.84620379,60.29131408079871,262.7487223,141.06744073764364,18.090535599650647,,88.7170599120888,,345,7687,44.96,20.84,55.22,34.34,4618,651
Honolulu,HI,58.8476797,20.101994573322738,175.6267424,57.86029931249177,4.678787859142906,2.5164907120722293,88.29673203112202,17.574633180568025,3954,1,75.74000000000002,16.34,84.02,67.64,5869,0
Chicago,IL,110.22720530000001,99.3067846849386,248.33360299999998,148.31261477146788,35.183958655594296,84.34510543290115,95.52182905233356,17.829643557236174,649,6929,47.84,18.14,56.84,38.66,3817,349
Aurora,IL,101.4361324,39.03594269571832,251.9439432,67.99750566423205,31.94744913449202,30.957443055865703,66.98306594218585,11.927933806365008,890,6291,50.18,17.779999999999994,59.18,41.36,3769,271
Elgin,IL,153.032929,49.426806308619575,379.6877233,77.84338287068469,53.01428914429208,40.45440327632245,103.62940983804366,12.863295573769367,649,6929,47.84,18.14,56.84,38.66,3817,349
Indianapolis,IN,132.8775529,46.83160380911829,343.9267567,93.16828901610657,35.2907158556995,25.568542017460537,102.21205917366758,30.90825823786013,909,5704,51.98,19.04,61.34,42.44,4144,196
